"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"digital-equipment-corporation","Digital Equipment Corporation","Vendor","Enterprise Computing","acquired","Compaq then HP","1957-1998","1997-dec-linkworks-webworker---an-object-db2d2a","Acquired by Compaq for $9.6B June 1998; Compaq acquired by HP 2002; LinkWorks product discontinued"
"sun-microsystems","Sun Microsystems","Vendor","Enterprise Computing","acquired","Oracle Corporation","1982-2010","1997-dec-linkworks-webworker---an-object-db2d2a","Java and JavaBeans predicted key; Sun acquired by Oracle in January 2010"
"netscape-communications","Netscape Communications","Vendor","Internet Software","acquired","AOL then various","1994-2003","1997-dec-linkworks-webworker---an-object-db2d2a","Acquired by AOL in 1999; Netscape Navigator browser discontinued 2008; Mozilla Firefox is spiritual successor"
"ibm","IBM","Vendor","Enterprise Computing","active","IBM","1911-present","1997-dec-linkworks-webworker---an-object-db2d2a","IBM's WebSphere and later middleware replaced distributed object products like LinkWorks"
"microsoft","Microsoft","Vendor","Enterprise Computing","active","Microsoft","1975-present","1997-dec-linkworks-webworker---an-object-db2d2a","COM/DCOM/ActiveX evolved into .NET; BackOffice suite evolved into Microsoft Server products"
"oracle-corporation","Oracle Corporation","Vendor","Database Software","active","Oracle","1977-present","1997-dec-linkworks-webworker---an-object-db2d2a","Oracle supported as LinkWorks repository database"
"lotus-development-corporation","Lotus Development Corporation","Vendor","Enterprise Software","acquired","IBM","1982-1995","1997-dec-linkworks-webworker---an-object-db2d2a","Acquired by IBM in 1995 for $3.5B; Lotus Notes/Domino was key groupware competitor"
"corel-corporation","Corel Corporation","Vendor","Desktop Software","active","Corel","1985-present","1997-dec-linkworks-webworker---an-object-db2d2a","Corel desktop applications mentioned as LinkWorks integration target"
"sequent-computer-systems","AberdeenGroup","Research Firm","IT Research","acquired","Aberdeen Group (Harte-Hanks)","1988-2010s","1997-dec-linkworks-webworker---an-object-db2d2a","Aberdeen Group acquired by Harte-Hanks in 2001"
"compaq-computer-corporation","Compaq Computer Corporation","Vendor","Personal Computing","acquired","Hewlett-Packard","1982-2002","1997-dec-linkworks-webworker---an-object-db2d2a","Acquired DEC in 1998; Compaq itself acquired by HP in 2002"
