"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Categorization of organizational approach within the Aberdeen Competitive Framework tiers (Laggard, Industry Norm, Best in Class)"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"framework-factor","observation_type","Framework Factor","A component or variable within an analytical framework or model used to structure the analysis; a dimension of a multi-factor evaluation scheme"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
"personal-recollection","observation_type","Personal Recollection","First-person memory or anecdote from Kastner"
"ai-exchange","observation_type","AI Exchange","A question posed by Kastner and the AI response extracted as a structured observation"
"topic-insight","observation_type","Topic Insight","An analytical claim or framework point within a technology topic deep-dive"
"industry-analysis","methodology_code","Industry Analysis","Qualitative and quantitative assessment of industry trends, competitive dynamics, and market conditions using publicly available information"
"competitive-profiling","methodology_code","Competitive Profiling","Structured analysis of specific vendor strategies, product positioning, and competitive strengths and weaknesses"
"benchmarking","methodology_code","Benchmarking","Systematic measurement and comparison of performance using standardized test specifications with full-disclosure reporting"
"field-research","methodology_code","Field Research","Primary research conducted through direct interaction with products, services, or market participants in real-world settings"
"document-review","methodology_code","Document Review","Assessment based on review of published documentation such as vendor support policies and threat databases"
"statistical-analysis","methodology","Statistical Analysis","Quantitative analysis of survey data including frequency distributions, cross-tabulations, and trend analysis"
"oral-history","methodology","Oral History","First-person spoken or written recollection of events"
"ai-dialog","methodology","AI Dialog","Question-and-answer exchange between a human and an AI system"
"high","confidence","High Confidence","Assessment or data point is well-supported by multiple sources, specific numbers, or direct document citations"
"medium","confidence","Medium Confidence","Finding supported by qualitative analysis, expert interpretation, or retrospective assessment with reasonable evidence"
"low","confidence","Low Confidence","Finding is inferred from limited evidence in the source text or involves significant extrapolation"
"verified","confidence","Verified","Confirmed by subsequent events or independent sources; applied to actual-outcome observations"
"benchmark_decomposition","observation_type","Benchmark_Decomposition","Study-specific code: benchmark_decomposition"
"internal-dec-memo","methodology","Internal Dec Memo","Study-specific code: internal-DEC-memo"
"response_time_spec","observation_type","Response_Time_Spec","Study-specific code: response_time_spec"
"spec-quotation","methodology","Spec Quotation","Study-specific code: spec-quotation"
"distribution_list","observation_type","Distribution_List","Study-specific code: distribution_list"
"distribution-list","methodology","Distribution List","Study-specific code: distribution-list"
"memo_classification","observation_type","Memo_Classification","Study-specific code: memo_classification"
"document-header","methodology","Document Header","Study-specific code: document-header"
"authorship","observation_type","Authorship","Study-specific code: authorship"
"byline","methodology","Byline","Study-specific code: byline"
"authorship_2","observation_type","Authorship_2","Study-specific code: authorship_2"
"benchmark_lineage","observation_type","Benchmark_Lineage","Study-specific code: benchmark_lineage"
"literature-citation","methodology","Literature Citation","Study-specific code: literature-citation"
"tpc_anticipation","observation_type","Tpc_Anticipation","Study-specific code: tpc_anticipation"
"historical-context","methodology","Historical Context","Study-specific code: historical-context"
"config_3_topology","observation_type","Config_3_Topology","Study-specific code: config_3_topology"
"engineering-diagram","methodology","Engineering Diagram","Study-specific code: engineering-diagram"
"vaxcluster_lock_constraint","observation_type","Vaxcluster_Lock_Constraint","Study-specific code: vaxcluster_lock_constraint"
"engineering-discussion","methodology","Engineering Discussion","Study-specific code: engineering-discussion"
"rdb_role","observation_type","Rdb_Role","Study-specific code: rdb_role"
"spec-discussion","methodology","Spec Discussion","Study-specific code: spec-discussion"
