"study_id","title","author","date","type","subject_domain","methodology","source_file","abstract","license","importance","importance_rationale","relevance","relevance_rationale","prescience","prescience_rationale"
"01-difranco-report-on-aberdeen-group-res-444a19","Report on Aberdeen Group Research into New Category for MaXLine","Stephen DiFranco","2003-06-01","market-study","midline-storage / enterprise-storage","industry-analysis, expert-opinion, survey-synthesis","01-DiFranco-Report-on-Aberdeen-Group-Research.txt","DiFranco's board-level memo to Maxtor executives summarizing Aberdeen Group's commissioned research into defining 'fixed content' storage as a new category. The report argues that Aberdeen surveyed 70 Fortune 1000 companies and found sufficient market readiness to position MaXLine drives as the leading brand in an emerging midline storage category. DiFranco explicitly frames the strategy as replicating Aberdeen's CRM category creation for Siebel — with Maxtor as the anticipated category leader.","CC-BY-4.0","high","First-person board memo articulating the complete strategic rationale for the midline storage category creation campaign — the founding document of the Aberdeen-Maxtor engagement. Directly analogous to the pre-launch strategy memo that preceded the Siebel/CRM category-creation success.","high","The category-creation-via-research-firm playbook described here (commission research → define category lexicon → install sponsor as category leader) remains a live strategic pattern used by vendors today. The HIPAA/SEC fixed-content compliance prediction proved accurate and is foundational to current data governance.","high","DiFranco predicted: (1) HIPAA and SEC regulations would require real-time-accessible fixed-content data warehouses — both proved accurate by 2004-2006; (2) mid-line as a separable storage category would be broadly adopted — confirmed by ILM and tiered-storage market development 2004-2010; (3) Aberdeen's category-creation model (analogous to CRM/Siebel) could deliver market leadership for Maxtor — partially confirmed (midline category emerged but Maxtor was acquired by Seagate before full category leadership was realised)."
"02-sow-final-62f56d","Statement of Work: Aberdeen-Maxtor MaXLine Marketing Program","Aberdeen Group / Peter Kastner","2003-03-17","employer-record","midline-storage / enterprise-storage / market-research-engagement","document-review,consulting-engagement","02-SOW-FINAL.txt","Formal Statement of Work governing the Aberdeen Group-Maxtor Corporation consulting engagement for marketing the MaXLine ATA disk drive product line. The SOW defines a two-task program: Task 1 covering market research and segment definition (75 enterprise interviews plus survey analysis for $25K) and Task 2 covering market education via an Executive White Paper and webcast ($35K). The document establishes IP licensing terms giving Maxtor exclusive perpetual worldwide rights to the white paper and delivery of 1000 copies plus web distribution.","CC-BY-4.0","high","Founding contract document for the Aberdeen-Maxtor engagement that created the midline storage category. Establishes the formal consulting relationship intellectual property terms and the structure of research and white paper deliverables that led to the August 2003 white paper. Directly linked to the DiFranco Report and the broader category-creation program.","medium","Provides a historical template for research-firm/vendor consulting SOWs including IP exclusivity clauses and 60-day review windows. The engagement structure — survey research followed by executive white paper followed by webcast — remains a standard analyst-vendor go-to-market pattern.","not-applicable",""
"03-contract-pools-of-storage-phase2-a47fd3","Pools of Storage Executive Evangelism Program — Phase 2 Contract","Aberdeen Group / Peter Kastner","2003-11-13","employer-record","midline-storage / ILM / enterprise-storage / market-research-engagement","document-review,consulting-engagement","03-Contract-Pools-of-Storage-Phase2.txt","Revised proposal and contract for Aberdeen Group's Phase 2 engagement with Maxtor Corporation covering the 'Pools of Storage Executive Evangelism Program' — a four-phase program at $114000 total. The program defines a four-tier storage lexicon (Online/Midline/Near-line/Offline) and proposes a strategy workshop in Shrewsbury MA (December 9 2003) followed by decision-tool development message testing with 100-250 internet surveys and a press tour in the US and Europe. The document introduces Serial Storage in a Box as a packaging concept and positions Maxtor as the ecosystem orchestrator for a new storage lexicon.","CC-BY-4.0","high","The Phase 2 contract formalizes the expanded Aberdeen-Maxtor engagement at $114K and introduces the four-pool storage taxonomy (Online/Midline/Near-line/Offline) that is the substantive intellectual contribution of the project. The Pools of Storage lexicon and the decision-tool concept represent the core deliverable that Aberdeen's After-Action report assessed as having produced $75K in tool R&D value.","high","The four-pool ILM lexicon introduced here closely maps to modern tiered storage architectures and ILM frameworks still used in enterprise storage planning. The structured category creation approach — lexicon definition + message testing + press evangelism — is a replicable vendor go-to-market template.","medium",""
"04-mid-line-storage-v2-whitepaper-7db9bc","Mid-Line Disk Storage Emerging As Significant Cost-Saving Opportunity","Aberdeen Group","2003-08-01","white-paper","midline-storage / enterprise-storage / ILM","primary-research,industry-analysis","04-Mid-Line-Storage-V2-WhitePaper.txt","Aberdeen Group's Executive White Paper presenting the case for a new 'mid-line' disk storage tier using ATA technology positioned between high-performance FC/SCSI disk arrays and tape. Based on 75 face-to-face and telephone interviews with Fortune-class storage managers. The paper defines four tiers of the storage pyramid (high-performance disk / mid-line / near-line / tape) and argues that mid-line ATA disk can serve at least 20% of enterprise data — and potentially over half — at 50% lower cost per gigabyte. It also introduces information lifecycle management (ILM) as the strategic framework for multi-tier storage.","CC-BY-4.0","high","The published deliverable of the Aberdeen-Maxtor SOW engagement — the formal launch artifact of the midline storage category. Aberdeen's first major published articulation of the mid-line tier concept backed by 75 enterprise interviews. This white paper is the intellectual foundation of the broader Pools of Storage program.","high","ILM tiered storage and the concept of aligning data to cost-appropriate storage based on access patterns remain current enterprise architecture principles. The white paper's four ILM principles (Aging/Freezing/Accumulation/Redundancy) are still analytically valid. ATA-based midline storage is now the standard (SATA SSDs and HDDs dominate secondary tiers).","high",""
"05-idc-sata-report-0872b8","Tired Storage and Capacity-Oriented Disk Drives (SATA) — Another Small Step Toward Data and Information Consolidation","Robert C. Gray, Dave Reinsel (IDC)","2003-11-01","market-study","enterprise-storage / SATA / tiered-storage","primary-research,industry-analysis","05-IDC-SATA-Report.txt","IDC report based on 50 in-depth executive interviews across 10 North American vertical markets examining enterprise acceptability of SATA/capacity-oriented disk drives in storage arrays. The study provides quantitative forecasts for SATA storage system revenues and HDD shipments 2003-2007 forecasting SATA will reach a quarter or more of storage array terabytes over time. Key findings include that compliance requirements are the primary driver for fixed-content adoption and that software management tools are the primary inhibitor for tiered-storage deployment.","CC-BY-4.0","high","Independent third-party research study concurrent with the Aberdeen-Maxtor engagement that validates the market thesis from a neutral analyst perspective. The study provides market forecasts and vertical market TAM data that directly support the business case for midline/SATA storage. As a co-sponsored IDC study it represents the broader analyst community validating the category.","high","The IDC study's framework of capacity-oriented vs performance-oriented storage tiers and its identification of compliance as the primary demand driver remain directly relevant to current enterprise storage architecture decisions. The vertical market rankings and the identification of financial/transportation/pharmaceutical as top targets have proven durable.","high",""
"06-aberdeen-after-action-showandtell-95c6d9","Maxtor Pools of Storage — After-Action Review (Show and Tell)","John Boyne, Peter Kastner (Aberdeen Group)","2004-01-01","employer-record","midline-storage / ILM / consulting-management / Aberdeen-internal","oral-history,document-review","06-Aberdeen-After-Action-ShowAndTell.txt","Internal Aberdeen Group presentation reviewing the completed Maxtor Pools of Storage engagement. The 11-slide deck covers project background ($128K fixed price / 60-day schedule that took 150 days starting December 2003) client issues Aberdeen selection rationale client satisfaction challenges and lessons learned. Key findings: the project funded $75K in Aberdeen tool R&D; produced the first Flash-based research-delivery simulation tool; developed 50 maturity grids; and attracted Macromedia EVP Al Ramadan's interest.","CC-BY-4.0","high","Primary source first-person internal retrospective on the Aberdeen-Maxtor engagement — the only document providing honest internal assessment of what worked (tool R&D value / maturity grids / research delivery innovation) and what failed (scheduling overrun from 60 to 150 days; one tool failed to impress initially; hard sales press turned off client). Provides the insider view on the CRM/category-creation client selection rationale that DiFranco also references.","high","The lessons learned — complete specs required for tool development; factor in client absorption rate; deliverable % completion metrics needed; project leader accountability; 'get decision-maker buy-in but that doesn't mean the organization has bought in' — are directly applicable to any modern consulting engagement. The engagement economics and IP reuse model are durable.","medium",""
"07-pools-of-storage-functional-spec-597fa5","Pools of Storage Decision Tool — Functional Specification (Aberdeen Internal)","Peter Kastner (executive sponsor); Jay Erikson (primary author)","2003-11-26","employer-record","midline-storage / ILM / software-development / Aberdeen-internal","document-review","07-Pools-of-Storage-Functional-Spec.txt","Internal Aberdeen Group functional specification for the Pools of Storage Decision Tool — explicitly marked 'Do Not Share With Maxtor.' Version 1.0 dated November 25 2003 describing a guided decision support web application built in Microsoft ASP/SQL Server 2000 targeting Internet Explorer 5.5+ on Windows. The tool has four stages: Solution Workflow (recommend business process); Competitive Workflow (maturity grid positioning); Financial Framework (KPI analysis); and Case for Action (ROI/TCO calculation with PDF output). Planned development cost $23101.55 over 6 weeks with Aberdeen hosting 3 months.","CC-BY-4.0","high","Primary internal specification document for the most innovative deliverable in the Aberdeen-Maxtor engagement — the first Aberdeen research-delivery-by-simulation tool. Contains frank internal commentary not meant for the client including notes on content development cost control and future product roadmap for superimposing benchmark data. Represents Aberdeen's first attempt at a guided decision support tool for category marketing.","high","The functional specification describes a decision support tool architecture (guided workflow + maturity grid + KPI analysis + Case for Action PDF output) that is recognizable in modern SaaS marketing tools assessment tools and maturity model platforms. The lead generation model (registration gating + rich user data to client) is still the standard model for gated B2B tools.","not-applicable","The functional specification itself makes no market predictions — it is a software requirements document. The forward-looking innovation is the product concept itself (research-as-simulation). Prescience of the broader decision tool concept is addressed in File 6 (After-Action) observations."
"08-phase2-project-kickoff-2ea711","Aberdeen-Maxtor Phase 2: Pools of Storage Market Development","Peter Kastner, Aberdeen Group","2003-11-25","employer-record","enterprise-storage","market-strategy, category-creation, project-planning","08-Phase2-Project-Kickoff.txt","Project kickoff document for Aberdeen Group's Phase 2 engagement with Maxtor Corporation to develop the 'Pools of Storage' concept and launch the midline storage category. Defines scope covering messaging workshop, message testing, and evangelization roadmap. Outlines Aberdeen's interdisciplinary team and a 10-week project timeline beginning November 24, 2003.","CC-BY-4.0","high","Primary strategic planning document for the midline category creation campaign — one of few surviving records of how a new IT market segment was intentionally engineered by an analyst firm and a hardware vendor jointly.","high","Category creation methodology and market-education approach remain directly applicable; ILM principles and tiered storage economics are more relevant than ever in cloud/hybrid storage era.","high","Predicted that Pools of Storage lexicon would gain industry adoption and that midline would become a recognized segment; SATA/midline tiers became standard; ILM terminology was widely adopted in industry."
"09-maxtor-workshop-prep-guide-a218dc","Midline Messaging Workshop Prep Guide","Peter Kastner, David Hill, John Boyne","2004-02-06","employer-record","enterprise-storage","workshop-facilitation, category-creation, stakeholder-engagement","09-Maxtor-Workshop-Prep-Guide.txt","Pre-workshop preparation guide distributed to Maxtor executives and core team before the February 13 2004 midline category creation workshop in Shrewsbury MA. Provides session goals and pre-read questions for three workshop sessions covering category definition, go-to-market strategy, and messaging finalization. Includes appendices defining Pools of Storage concepts and messaging foundations.","CC-BY-4.0","high","Rare internal document showing the structured methodology Aberdeen used to drive executive alignment before a category-creation milestone event; illustrates professional facilitation approach for market engineering.","high","Workshop preparation methodology and structured stakeholder alignment process remain applicable to any product category launch; defines ILM and Pools of Storage concepts with precision still relevant today.","medium","Predicted Maxtor would gain executive consensus on midline messaging; workshop did occur on Feb 13 and messaging was finalized, but Maxtor's midline category never achieved full independent standing before Seagate acquisition in 2006."
"10-maxtor-workshop-02-09-eod-53f22b","Maxtor Messaging Workshop: Creating the Midline Market Category","Aberdeen Group (Peter Kastner, David Hill, John Boyne)","2004-02-13","employer-record","enterprise-storage","category-creation, competitive-analysis, market-strategy, workshop-facilitation","10-Maxtor-Workshop-02-09-EOD.txt","Full slide deck from the February 13 2004 Maxtor midline category creation workshop at Shrewsbury MA. Covers Aberdeen's ILM and Pools of Storage framework, competitive analysis of Seagate/WD/Hitachi, the 10-step category creation methodology, a detailed market awareness-building roadmap with quarterly milestones, and competitive positioning analysis of MaXLine vs Atlas disk drives.","CC-BY-4.0","high","Primary artifact of the midline storage category creation campaign; documents the specific intellectual framework and go-to-market strategy that Aberdeen deployed on behalf of Maxtor — a rare complete record of analyst-led category engineering in enterprise IT.","high","10-step category creation methodology and influencer engagement strategy are directly transferable to any new IT market category; ILM-to-Pools of Storage logical hierarchy is still taught in enterprise storage architecture. Competitive dynamics documented remain illustrative.","high","Predicted midline as distinct enterprise storage tier would be recognized; SATA enterprise drives became standard; also predicted ILM would be 'mindshare battle of the decade' — confirmed by subsequent storage vendor marketing wars. Predicted IDC/Gartner would begin reporting midline metrics — partially confirmed as tiered storage tracking emerged."
