"obs_id","study_id","model","prescience_score","confidence","rationale","scored_at","scorer_version","source_pass","elapsed_sec","parse_ok"
"written-iha-full-report-draft-jul-28-075611-OBS-016","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","5","3","Consumer in 2003 predicted SD card pricing would compress to ""$25, tops"" for what was then premium-priced flash. By 2010 32GB SD cards retailed under $25 and by 2020 128GB cards were under $20; the consumer pricing intuition aligned remarkably with NAND flash commodity trajectory.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-021","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","-1","1","Pre-filter: focus-group session logistics text (payment terms, dinner arrangements), not a market claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-011","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","5","3","Consumer in 2003 expected aggressive internet-channel discounting on SD cards (40-30% off retail). Online retail price compression for consumer flash storage materialized exactly as anticipated through Amazon, Newegg, and direct manufacturer channels by 2005-2010.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-012","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","5","3","Consumer willingness to pay $30 for SD card storage was directionally prescient; by 2008 mainstream 4-8GB SD cards retailed in that range, and by 2015 32GB cards routinely sold below $30 at retail.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-018","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","-1","1","Pre-filter: focus-group session logistics text (payment, recruitment script), not a market claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-005","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","4","3","Consumer reference price of $49 for 32MB flash circa 2000-2001 anchored the steep cost-per-MB decline that followed. NAND flash $/GB fell roughly 30-40% annually through the 2000s as predicted by Hwang's law, validating the consumer expectation of continued price drops.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-002","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","4","3","Consumer reference of $80 for 4MB flash circa 1998-1999 captures the starting point for the NAND flash cost curve. By 2003 (date of study) 128MB at similar price points was common; by 2010 8GB at $20 was routine — a 2000x capacity-per-dollar improvement materialized as the trajectory implied.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-006","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","5","3","Consumer prediction that 128MB SD card prices would fall below $25 was correct by 2005-2006 as flash density doubled approximately every 18 months. Boston respondent intuited the Moore's-law-adjacent NAND scaling curve accurately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-014","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","5","3","Consumer 2003 willingness to pay $19.95 for 1GB SD was below-market then but realized by 2008-2009 when 1GB cards became commodity loss-leaders below $10. The price expectation was aggressive but materially correct on direction and timing.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-iha-full-report-draft-jul-28-075611-OBS-015","written-iha-full-report-draft-jul-28-075611","claude-sonnet-4.6","4","2","Consumer price-range observation ($5-$100 willingness span) captured the wide stratification that did emerge in SD card retail across capacity tiers. Today's market shows exactly this: bottom-end microSD cards at $5 and high-endurance/high-speed cards above $100.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-020","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","4","3","2007 claim that high-tech and telecom/utilities led reverse logistics measurement (60%) was directionally durable; these verticals retained leadership in returns analytics through the 2010s as e-commerce drove formalization across the rest of the economy. By 2020 retail and consumer goods caught up due to Amazon-driven reverse logistics maturity.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
