"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Categorization of organizational approach within the Aberdeen Competitive Framework tiers (Laggard, Industry Norm, Best in Class)"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"framework-factor","observation_type","Framework Factor","A component or variable within an analytical framework or model used to structure the analysis; a dimension of a multi-factor evaluation scheme"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
"personal-recollection","observation_type","Personal Recollection","First-person memory or anecdote from Kastner"
"ai-exchange","observation_type","AI Exchange","A question posed by Kastner and the AI response extracted as a structured observation"
"topic-insight","observation_type","Topic Insight","An analytical claim or framework point within a technology topic deep-dive"
"industry-analysis","methodology_code","Industry Analysis","Qualitative and quantitative assessment of industry trends, competitive dynamics, and market conditions using publicly available information"
"competitive-profiling","methodology_code","Competitive Profiling","Structured analysis of specific vendor strategies, product positioning, and competitive strengths and weaknesses"
"benchmarking","methodology_code","Benchmarking","Systematic measurement and comparison of performance using standardized test specifications with full-disclosure reporting"
"field-research","methodology_code","Field Research","Primary research conducted through direct interaction with products, services, or market participants in real-world settings"
"document-review","methodology_code","Document Review","Assessment based on review of published documentation such as vendor support policies and threat databases"
"statistical-analysis","methodology","Statistical Analysis","Quantitative analysis of survey data including frequency distributions, cross-tabulations, and trend analysis"
"oral-history","methodology","Oral History","First-person spoken or written recollection of events"
"ai-dialog","methodology","AI Dialog","Question-and-answer exchange between a human and an AI system"
"high","confidence","High Confidence","Assessment or data point is well-supported by multiple sources, specific numbers, or direct document citations"
"medium","confidence","Medium Confidence","Finding supported by qualitative analysis, expert interpretation, or retrospective assessment with reasonable evidence"
"low","confidence","Low Confidence","Finding is inferred from limited evidence in the source text or involves significant extrapolation"
"verified","confidence","Verified","Confirmed by subsequent events or independent sources; applied to actual-outcome observations"
"style_1_definition","observation_type","Style_1_Definition","Study-specific code: style_1_definition"
"primer-text","methodology","Primer Text","Study-specific code: primer-text"
"style_3_recommended","observation_type","Style_3_Recommended","Study-specific code: style_3_recommended"
"vups_consumption","observation_type","Vups_Consumption","Study-specific code: vups_consumption"
"engineering-data-from-dec","methodology","Engineering Data From Dec","Study-specific code: engineering-data-from-DEC"
"tandem_response_time","observation_type","Tandem_Response_Time","Study-specific code: tandem_response_time"
"white-paper-quotation","methodology","White Paper Quotation","Study-specific code: white-paper-quotation"
"tandem_teller_undercount","observation_type","Tandem_Teller_Undercount","Study-specific code: tandem_teller_undercount"
"stratus_120_estimate","observation_type","Stratus_120_Estimate","Study-specific code: stratus_120_estimate"
"competitive-estimate","methodology","Competitive Estimate","Study-specific code: competitive-estimate"
"stratus_journaling_cap","observation_type","Stratus_Journaling_Cap","Study-specific code: stratus_journaling_cap"
"competitive-analysis","observation_type","Competitive Analysis","Assessment of competitive positioning between entities"
"tandem_clx_per_proc","observation_type","Tandem_Clx_Per_Proc","Study-specific code: tandem_clx_per_proc"
"tandem-white-paper","methodology","Tandem White Paper","Study-specific code: tandem-white-paper"
"tandem_vlx_per_proc","observation_type","Tandem_Vlx_Per_Proc","Study-specific code: tandem_vlx_per_proc"
"ibm_70pct_cpu_rule","observation_type","Ibm_70Pct_Cpu_Rule","Study-specific code: ibm_70pct_cpu_rule"
"kastner_authorship","observation_type","Kastner_Authorship","Study-specific code: kastner_authorship"
"document-signature","methodology","Document Signature","Study-specific code: document-signature"
