"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"digital-equipment-corporation","Evolutionary Technologies International (ETI)","Vendor","Enterprise Software","acquired","Evolutionary Technologies Inc (data integration market consolidation)","1991-2000s","1997-data-integration-management-in-hete-de2429","ETI was acquired; ETI•EXTRACT eventually subsumed into broader data integration market consolidation"
"sun-microsystems","IBM","Vendor","Enterprise Computing","active","IBM","1911-present","1997-data-integration-management-in-hete-de2429","IBM had reseller/joint development agreement with ETI; IBM later acquired DataStage (Ardent Software/Sequent) for data integration"
"netscape-communications","Procter & Gamble","Enterprise Customer","Consumer Goods","active","Procter & Gamble","1837-present","1997-data-integration-management-in-hete-de2429","Fortune 1000 ETI customer reference"
"ibm","Hallmark Cards","Enterprise Customer","Consumer Goods","active","Hallmark","1910-present","1997-data-integration-management-in-hete-de2429","Fortune 1000 ETI customer reference"
"microsoft","PHH Corporation","Enterprise Customer","Financial Services","acquired","Cendant/Avis","1953-1997","1997-data-integration-management-in-hete-de2429","PHH Corporation was a fleet management and mortgage company; acquired by Cendant in 1997"
"oracle-corporation","Neodata Services Inc.","Enterprise Customer","IT Services","acquired","unknown","1980s-2000s","1997-data-integration-management-in-hete-de2429","Magazine fulfillment services company; Fortune 1000 ETI customer"
"lotus-development-corporation","Prism Solutions","Vendor","Data Integration","acquired","Evolutionary Technologies/Ardent Software","1991-1998","1997-data-integration-management-in-hete-de2429","Data warehousing tools competitor; acquired by Ardent Software 1998"
"corel-corporation","Constellar Corporation","Vendor","Data Integration","acquired","IBM","1993-1998","1997-data-integration-management-in-hete-de2429","Data integration software; acquired by IBM in 1998 as part of IBM's data warehousing push"
"sequent-computer-systems","AberdeenGroup","Research Firm","IT Research","acquired","Aberdeen Group (Harte-Hanks)","1988-2010s","1997-data-integration-management-in-hete-de2429","Aberdeen Group acquired by Harte-Hanks in 2001"
"compaq-computer-corporation","SAP AG","Vendor","Enterprise Software","active","SAP","1972-present","1997-data-integration-management-in-hete-de2429","SAP ABAP/4 language supported by ETI•EXTRACT for SAP implementation data migrations"
"sybase","Oracle Corporation","Vendor","Database Software","active","Oracle","1977-present","1997-data-integration-management-in-hete-de2429","Oracle supported as ETI•EXTRACT source and target"
"informix-software","Baan","Vendor","Enterprise Software","acquired","Infor","1978-2000","1997-data-integration-management-in-hete-de2429","ERP vendor; Baan acquired by Invensys in 2000 then SSA Global then Infor"
"peoplesoft","PeopleSoft","Vendor","Enterprise Software","acquired","Oracle","1987-2005","1997-data-integration-management-in-hete-de2429","ERP vendor; acquired by Oracle in 2005 for $10.3B after hostile takeover battle"
