"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"dct-supplier-list-2002-OBS-001","dct-supplier-list-2002","aberdeen-group","","framework-factor","2002","DCT four-category taxonomy","PCs & Peripherals; Networks & Automation; Applications & Services; Leisure & Entertainment","high","industry-analysis","p.1",""
"dct-supplier-list-2002-OBS-002","dct-supplier-list-2002","","pc-peripheral","market-data","2002","PC & peripheral supplier count","~60 named suppliers","high","document-review","p.1","Includes AMD, Apple, ATI, Audiovox, Compaq, Dell, Fujitsu, HP, IBM, Nvidia, Sony, Samsung, Sun Microsystems, etc."
"dct-supplier-list-2002-OBS-003","dct-supplier-list-2002","","home-networking","market-data","2002","Networks & automation supplier count","~37 named suppliers","high","document-review","p.2","Includes 3Com, Cisco, D-Link, Intel, Linksys, Motorola, Siemens"
"dct-supplier-list-2002-OBS-004","dct-supplier-list-2002","","consumer-software","market-data","2002","Apps & services supplier count","~20 named suppliers","high","document-review","p.3","Includes Adobe, AOL, Microsoft, RealNetworks, Wind River Systems"
"dct-supplier-list-2002-OBS-005","dct-supplier-list-2002","","leisure-entertainment-tech","market-data","2002","Leisure & entertainment supplier count","~8 named suppliers","high","document-review","p.3","DirecTV, OpenTV, Sirius, Sony, TiVo, Visteon, XM, Zinwell"
"dct-supplier-list-2002-OBS-006","dct-supplier-list-2002","nvidia","","expert-opinion","2002","Classification of nVidia","PCs & Peripherals — graphics/semiconductor","high","industry-analysis","p.1",""
"dct-supplier-list-2002-OBS-007","dct-supplier-list-2002","ati-technologies","","expert-opinion","2002","Classification of ATI","PCs & Peripherals — graphics/semiconductor","high","industry-analysis","p.1",""
"dct-supplier-list-2002-OBS-008","dct-supplier-list-2002","microsoft","","expert-opinion","2002","Classification of Microsoft","Applications & Services","high","industry-analysis","p.3",""
"dct-supplier-list-2002-OBS-009","dct-supplier-list-2002","tivo","","expert-opinion","2002","Classification of TiVo","Leisure & Entertainment","high","industry-analysis","p.3",""
"dct-supplier-list-2002-OBS-010","dct-supplier-list-2002","sonicblue","","expert-opinion","2002","Classification of SONICblue","PCs & Peripherals","high","industry-analysis","p.1","Later would compete with Microsoft Media Center in living room"
"dct-supplier-list-2002-OBS-011","dct-supplier-list-2002","handspring","","actual-outcome","2003","Handspring outcome","Merged into Palm 2003","verified","document-review","","Follow-up fact"
"dct-supplier-list-2002-OBS-012","dct-supplier-list-2002","","","framework-factor","2002","Cross-category overlap","Some suppliers appear in multiple categories (e.g., Sony in PCs and Leisure; DoBox in Peripherals and Networks)","high","industry-analysis","p.2",""
"dct-supplier-list-2002-OBS-013","dct-supplier-list-2002","","","market-data","2002","Total named DCT suppliers","~150 across all four categories","high","document-review","p.1",""
"dct-supplier-list-2002-OBS-014","dct-supplier-list-2002","intel","","expert-opinion","2002","Intel classification","Networks & Automation — cross-categorized from semiconductor base","high","industry-analysis","p.2",""
