"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-001","intel-idf-2005-spring-delegate-confirmat-0de810","craig-barrett","","expert-opinion","2005","barrett-opening-keynote","Craig Barrett (then Intel CEO, 2005) personally delivered the Spring IDF 2005 opening keynote — his final year as CEO before transition to Chairman.","high","document-review","Tue-Mar-1-9:00AM",""
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-002","intel-idf-2005-spring-delegate-confirmat-0de810","intel","intel-multicore-next-gen","viability-prediction","2005","multicore-spring-preview","Spring IDF 2005 scheduled a dedicated Multicore Briefing (Tue 10:45-11:45 AM), six months before Fall IDF's multi-core mega-briefing — showing Intel's consistent multi-core drumbeat throughout 2005.","high","document-review","Tue-Mar-1-10:45AM","[UNVERIFIED] actual-outcome paired."
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-003","intel-idf-2005-spring-delegate-confirmat-0de810","intel","intel-multicore-next-gen","actual-outcome","2005","multicore-2005-delivery","[UNVERIFIED]","unknown [REVIEW]","framework-development","Tue-Mar-1-10:45AM","Intel Pentium D shipped May 2005, Core Duo Jan 2006 — verify."
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-004","intel-idf-2005-spring-delegate-confirmat-0de810","intel","intel-vt","framework-factor","2005","vt-education-push","Dedicated 'Virtualization Technology 101 - Usage Models & Benefits' briefing on Wednesday indicates Intel was still educating analysts on virtualization use cases in early 2005.","high","document-review","Wed-Mar-2-1:15PM",""
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-005","intel-idf-2005-spring-delegate-confirmat-0de810","intel","intel-flash","expert-opinion","2005","fpg-briefing-2005","Flash Products Group briefing at Spring IDF 2005 shows flash was still a strategic Intel business unit in early 2005 (later divested via IMFT JV with Micron in 2006, ultimately sold to Micron in 2012).","high","document-review","Wed-Mar-2-2:15PM",""
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-006","intel-idf-2005-spring-delegate-confirmat-0de810","intel","intel-tmg","expert-opinion","2005","tmg-process-briefing","TMG (Technology & Manufacturing Group) briefing — process node roadmap update delivered to analysts.","high","document-review","Wed-Mar-2-3:05PM",""
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-007","intel-idf-2005-spring-delegate-confirmat-0de810","intel","uwb-wireless-usb","viability-prediction","2005","uwb-analyst-push-2005","Dedicated UWB / Wireless USB Briefing at W Hotel on Wednesday suggests Intel was bullish on Wireless USB at Spring IDF 2005.","medium","document-review","Wed-Mar-2-4:00PM","[UNVERIFIED] actual-outcome paired — UWB largely failed commercially."
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-008","intel-idf-2005-spring-delegate-confirmat-0de810","intel","uwb-wireless-usb","actual-outcome","2005","uwb-market-failure","[UNVERIFIED]","unknown [REVIEW]","framework-development","Wed-Mar-2-4:00PM","WiMedia Alliance dissolved 2009; Wireless USB never achieved mass adoption."
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-009","intel-idf-2005-spring-delegate-confirmat-0de810","intel","ce-ata","expert-opinion","2005","ce-ata-1h-briefing","CE-ATA Briefing and Class on Thursday reflects Intel's push for a small-form-factor storage interface for consumer electronics; eventually superseded by eMMC and UFS.","medium","document-review","Thu-Mar-3-10:00AM",""
"intel-idf-2005-spring-delegate-confirmat-0de810-OBS-010","intel-idf-2005-spring-delegate-confirmat-0de810","intel","","framework-factor","2005","idf-cto-panel","Closing CTO Panel on Thursday was a standing IDF format — gathering industry CTOs for joint Q&A moderated by Intel.","high","document-review","Thu-Mar-3-12:20PM",""
