"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"ibmtpc92-c32789-obs-001","ibmtpc92-c32789","ibm","tpc-benchmark","strategic-assessment","","","","high","","",""
"ibmtpc92-c32789-obs-002","ibmtpc92-c32789","ibm","tpc-benchmark","competitive-position","","","","high","","",""
"ibmtpc92-c32789-obs-003","ibmtpc92-c32789","ibm","as400","benchmark-result","","","","high","","","Figure 6 referenced"
"ibmtpc92-c32789-obs-004","ibmtpc92-c32789","ibm","as400","benchmark-result","","","","high","","","Figure 6 referenced"
"ibmtpc92-c32789-obs-005","ibmtpc92-c32789","ibm","rs6000","benchmark-result","","","","high","","","Figure 7 referenced"
"ibmtpc92-c32789-obs-006","ibmtpc92-c32789","ibm","aix","strategic-assessment","","","","high","","",""
"ibmtpc92-c32789-obs-007","ibmtpc92-c32789","ibm","rs6000","benchmark-result","","","","high","","",""
"ibmtpc92-c32789-obs-008","ibmtpc92-c32789","ibm","rs6000","competitive-position","","","","high","","",""
"ibmtpc92-c32789-obs-009","ibmtpc92-c32789","ibm","ibm-system390","expert-opinion","","","","high","","",""
"ibmtpc92-c32789-obs-010","ibmtpc92-c32789","ibm","ibm-system390","expert-opinion","","","","medium","","","Aberdeen editorial opinion"
"ibmtpc92-c32789-obs-011","ibmtpc92-c32789","ibm","ibm-db2","expert-opinion","","","","high","","","Market intelligence observation"
"ibmtpc92-c32789-obs-012","ibmtpc92-c32789","ibm","ibm-system390","viability-prediction","","","","medium","","",""
"ibmtpc92-c32789-obs-013","ibmtpc92-c32789","ibm","ibm-system390","actual-outcome","","","","medium","","","Placeholder for actual outcome of S/390 TPC benchmark disclosure"
